proces,device,rw_flag,sector,size,timestamp
loop40-2757,8388608,R,206567552,8,653406.907265
<...>-21515,8388608,R,206567552,8,653406.908974
loop40-2757,8388608,R,206567656,8,653406.913868
SettingsProvide-1787,8388608,W,21557936,16,653408.082164
kworker/u17:0-21515,8388608,W,21557936,16,653408.083012
kworker/3:1H-227,8388608,W,20519176,8,653408.088147
ll.splashscreen-2001,8388608,R,4709256,32,653409.113348
kworker/u17:0-21515,8388608,R,4709256,32,653409.114285
kworker/u17:0-21515,8388608,R,4709304,8,653409.11441
kworker/u17:0-21515,8388608,R,4709328,8,653409.114471
kworker/u17:0-21515,8388608,R,4709344,24,653409.114499
kworker/u17:0-21515,8388608,R,4709376,8,653409.114517
kworker/u17:0-21515,8388608,R,4709408,8,653409.114533
kworker/u17:0-21515,8388608,R,4709448,40,653409.11455
ll.splashscreen-2001,8388608,R,76856016,88,653409.128861
kworker/u17:0-21515,8388608,R,76856016,88,653409.129858
kworker/u17:0-21515,8388608,R,76856120,8,653409.129922
kworker/u17:0-21515,8388608,R,76856144,24,653409.129938
kworker/u17:0-21515,8388608,R,76856192,32,653409.129948
kworker/u17:0-21515,8388608,R,76856232,32,653409.129959
loop40-2757,8388608,R,181767784,8,653409.281684
kworker/u17:0-21515,8388608,R,181767784,8,653409.282589
kworker/0:1H-230,8388608,R,224088680,8,653409.301005
kworker/u17:0-21515,8388608,R,224088680,8,653409.301898
kworker/0:1H-230,8388608,R,224088688,8,653409.316383
kworker/u17:0-21515,8388608,R,224088688,8,653409.317179
kworker/1:1H-229,8388608,R,224088696,8,653409.317475
kworker/1:1H-229,8388608,R,224088704,8,653409.317696
kworker/0:1H-230,8388608,R,224088712,8,653409.331855
kworker/u17:1-21615,8388608,R,224088712,8,653409.33276
kworker/3:1H-227,8388608,R,224088720,8,653409.333054
statsSaveQueue-3740,8388608,W,194352760,8,653409.37164
kworker/u17:1-21615,8388608,W,194352760,8,653409.372541
kworker/2:1H-228,8388608,W,20519184,8,653409.372904
Thread-15-3203,8388608,W,21557952,8,653409.779454
kworker/u17:0-21515,8388608,W,21557952,8,653409.78076
kworker/3:1H-227,8388608,W,20519192,8,653409.782876
Thread-15-3203,8388608,W,21557960,16,653409.784055
kworker/0:1H-230,8388608,W,20519200,8,653409.784422
Thread-15-3203,8388608,W,21557976,16,653409.785594
kworker/1:1H-229,8388608,W,20519208,8,653409.785856
stageQueue-3121,8388608,W,21557992,48,653409.790637
kworker/u17:0-21515,8388608,W,21557992,48,653409.791543
kworker/5:1H-32145,8388608,W,20519216,8,653409.791772
storageQueue_0-3138,8388608,R,237238944,8,653409.79349
