proces,device,rw_flag,sector,size,timestamp
dmd-1151,8388608,W,93897440,1024,44186.011543
<...>-4922,8388608,W,93897440,1024,44186.012809
<...>-4922,8388608,W,93898464,1024,44186.013083
dmd-1151,8388608,W,93899488,72,44186.017137
kworker/0:0H-5,8388608,W,93899560,1024,44186.017518
dmd-1151,8388608,W,93900584,912,44186.018005
kworker/0:0H-5,8388608,W,47866368,16,44186.02139
kworker/u16:1-5374,8388608,W,47862680,8,44192.765369
kworker/u17:3-4922,8388608,W,47862680,8,44192.767704
kworker/u16:1-5374,8388608,W,93821424,216,44197.885479
kworker/u17:3-4922,8388608,W,93821424,216,44197.887302
android.io-1683,8388608,W,47862688,8,44203.336844
f2fs_ckpt-254:4-648,8388608,W,47862696,16,44203.337599
f2fs_ckpt-254:4-648,8388608,W,47862712,8,44203.338009
f2fs_ckpt-254:4-648,8388608,W,47862720,8,44203.338196
f2fs_ckpt-254:4-648,8388608,W,47862728,8,44203.338543
f2fs_ckpt-254:4-648,8388608,W,47862736,8,44203.338728
f2fs_ckpt-254:4-648,8388608,W,47862744,8,44203.339059
kworker/0:0H-5,8388608,W,26259384,64,44203.340153
kworker/0:0H-5,8388608,W,47866384,168,44203.340409
kworker/0:0H-5,8388608,W,27030616,16,44203.340508
f2fs_ckpt-254:4-648,8388608,W,18333488,8,44203.365156
kworker/u17:3-4922,8388608,W,18333488,8,44203.366422
kworker/u17:3-4922,8388608,W,18333504,16,44203.366497
kworker/u17:3-4922,8388608,W,18333544,8,44203.366515
kworker/u17:3-4922,8388608,W,18333632,8,44203.366655
kworker/u17:3-4922,8388608,W,18333736,8,44203.366673
kworker/u17:3-4922,8388608,W,18333752,8,44203.36676
kworker/u17:3-4922,8388608,W,18333880,8,44203.366779
kworker/u17:3-4922,8388608,W,18333904,8,44203.366841
kworker/u17:3-4922,8388608,W,18333928,8,44203.366859
kworker/u17:3-4922,8388608,W,18333944,16,44203.366896
kworker/u17:3-4922,8388608,W,18333968,8,44203.366925
kworker/u17:3-4922,8388608,W,18334024,8,44203.366943
kworker/u17:3-4922,8388608,W,18334048,8,44203.366958
kworker/u17:3-4922,8388608,W,18334112,8,44203.367002
kworker/u17:3-4922,8388608,W,18334128,8,44203.36702
kworker/u17:3-4922,8388608,W,18334144,8,44203.367066
kworker/u17:3-4922,8388608,W,18334168,8,44203.367087
kworker/u17:3-4922,8388608,W,18334184,16,44203.367112
kworker/u17:3-4922,8388608,W,18334216,16,44203.367149
kworker/u17:3-4922,8388608,W,18334248,8,44203.367166
kworker/u17:3-4922,8388608,W,18334272,8,44203.367202
kworker/u17:3-4922,8388608,W,18334288,8,44203.367232
kworker/u17:3-4922,8388608,W,18334312,24,44203.367263
kworker/u17:3-4922,8388608,W,18334344,8,44203.36728
kworker/u17:3-4922,8388608,W,18334368,8,44203.367298
kworker/u17:3-4922,8388608,W,18334384,8,44203.367377
kworker/u17:3-4922,8388608,W,18334400,8,44203.367407
kworker/u17:3-4922,8388608,W,18334416,24,44203.367435
kworker/u17:3-4922,8388608,W,18334456,32,44203.367463
kworker/u17:3-4922,8388608,W,18334496,8,44203.36749
kworker/u17:3-4922,8388608,W,18334560,8,44203.367514
kworker/u17:3-4922,8388608,W,18334576,8,44203.367545
kworker/u17:3-4922,8388608,W,18334592,8,44203.367584
kworker/0:0H-5,8388608,W,18334624,8,44203.367795
kworker/0:0H-5,8388608,W,18334640,8,44203.368094
kworker/0:0H-5,8388608,W,18334664,8,44203.369105
kworker/0:0H-5,8388608,W,18334680,8,44203.36916
kworker/0:0H-5,8388608,W,18334696,8,44203.369176
kworker/0:0H-5,8388608,W,18334728,16,44203.369254
kworker/0:0H-5,8388608,W,18334752,8,44203.369274
kworker/0:0H-5,8388608,W,18334768,16,44203.369395
kworker/0:0H-5,8388608,W,18334792,8,44203.369414
kworker/0:0H-5,8388608,W,18334816,40,44203.369433
kworker/0:0H-5,8388608,W,18334864,16,44203.369536
kworker/0:0H-5,8388608,W,18334888,8,44203.369552
kworker/0:0H-5,8388608,W,18334912,8,44203.369567
f2fs_ckpt-254:4-648,8388608,W,18334944,8,44203.370881
f2fs_ckpt-254:4-648,8388608,W,18334968,8,44203.370951
f2fs_ckpt-254:4-648,8388608,W,18334992,8,44203.370999
f2fs_ckpt-254:4-648,8388608,W,18335016,8,44203.37102
f2fs_ckpt-254:4-648,8388608,W,18335056,8,44203.371042
f2fs_ckpt-254:4-648,8388608,W,18336104,8,44203.371068
f2fs_ckpt-254:4-648,8388608,W,18336136,8,44203.371092
f2fs_ckpt-254:4-648,8388608,W,18336304,8,44203.371114
f2fs_ckpt-254:4-648,8388608,W,18336520,8,44203.371138
f2fs_ckpt-254:4-648,8388608,W,18336728,8,44203.371164
f2fs_ckpt-254:4-648,8388608,W,18337832,16,44203.371187
f2fs_ckpt-254:4-648,8388608,W,18337880,8,44203.371209
f2fs_ckpt-254:4-648,8388608,W,18337904,8,44203.371222
f2fs_ckpt-254:4-648,8388608,W,18338048,8,44203.371252
f2fs_ckpt-254:4-648,8388608,W,18338064,8,44203.371269
f2fs_ckpt-254:4-648,8388608,W,18338184,8,44203.371309
f2fs_ckpt-254:4-648,8388608,W,18338216,8,44203.371324
f2fs_ckpt-254:4-648,8388608,W,18338240,8,44203.371395
f2fs_ckpt-254:4-648,8388608,W,18338256,8,44203.37141
f2fs_ckpt-254:4-648,8388608,W,18338272,8,44203.371451
f2fs_ckpt-254:4-648,8388608,W,18345784,8,44203.371466
f2fs_ckpt-254:4-648,8388608,W,18345808,24,44203.371482
f2fs_ckpt-254:4-648,8388608,W,18345976,8,44203.371498
f2fs_ckpt-254:4-648,8388608,W,18346016,8,44203.371539
f2fs_ckpt-254:4-648,8388608,W,18346048,8,44203.371553
f2fs_ckpt-254:4-648,8388608,W,18346144,24,44203.371572
f2fs_ckpt-254:4-648,8388608,W,18346176,16,44203.371605
f2fs_ckpt-254:4-648,8388608,W,18346264,8,44203.371627
f2fs_ckpt-254:4-648,8388608,W,18346344,16,44203.371643
f2fs_ckpt-254:4-648,8388608,W,18346368,8,44203.371657
f2fs_ckpt-254:4-648,8388608,W,18346384,16,44203.371686
kworker/0:0H-5,8388608,W,18346408,8,44203.372465
f2fs_ckpt-254:4-648,8388608,W,18346424,8,44203.37467
kworker/0:0H-5,8388608,W,18346448,8,44203.37493
kworker/0:0H-5,8388608,W,18346464,8,44203.375191
kworker/0:0H-5,8388608,W,18346488,16,44203.375209
kworker/0:0H-5,8388608,W,18346520,16,44203.375287
kworker/0:0H-5,8388608,W,18346552,8,44203.375303
kworker/0:0H-5,8388608,W,18346568,8,44203.375409
kworker/0:0H-5,8388608,W,18346584,16,44203.375426
kworker/0:0H-5,8388608,W,18346664,8,44203.375621
kworker/0:0H-5,8388608,W,18346680,8,44203.375642
kworker/0:0H-5,8388608,W,18346696,8,44203.375715
kworker/0:0H-5,8388608,W,18346728,16,44203.375731
kworker/0:0H-5,8388608,W,18346776,8,44203.375789
kworker/0:0H-5,8388608,W,18346792,8,44203.375806
kworker/0:0H-5,8388608,W,18346808,8,44203.37587
kworker/0:0H-5,8388608,W,18346824,16,44203.375888
kworker/0:0H-5,8388608,W,18346856,8,44203.375903
kworker/0:0H-5,8388608,W,18346888,8,44203.375918
kworker/0:0H-5,8388608,W,18346904,8,44203.376075
kworker/0:0H-5,8388608,W,18346936,16,44203.376093
kworker/0:0H-5,8388608,W,18346960,8,44203.376162
kworker/0:0H-5,8388608,W,18346976,8,44203.37618
kworker/0:0H-5,8388608,W,18346992,8,44203.376243
kworker/0:0H-5,8388608,W,18347008,8,44203.376261
kworker/0:0H-5,8388608,W,18347032,8,44203.37632
kworker/0:0H-5,8388608,W,18347048,8,44203.376339
kworker/0:0H-5,8388608,W,18347072,8,44203.376399
kworker/0:0H-5,8388608,W,18347096,8,44203.376418
kworker/0:0H-5,8388608,W,18347144,8,44203.376578
kworker/0:0H-5,8388608,W,18347192,8,44203.376595
kworker/0:0H-5,8388608,W,18347208,8,44203.37666
kworker/0:0H-5,8388608,W,18347224,8,44203.376678
f2fs_ckpt-254:4-648,8388608,W,18347248,8,44203.378215
f2fs_ckpt-254:4-648,8388608,W,18347272,8,44203.378266
f2fs_ckpt-254:4-648,8388608,W,18347296,8,44203.378283
f2fs_ckpt-254:4-648,8388608,W,18347320,16,44203.378349
f2fs_ckpt-254:4-648,8388608,W,18347352,32,44203.378366
f2fs_ckpt-254:4-648,8388608,W,18347832,8,44203.378446
f2fs_ckpt-254:4-648,8388608,W,18348064,8,44203.378463
f2fs_ckpt-254:4-648,8388608,W,18348800,8,44203.378478
f2fs_ckpt-254:4-648,8388608,W,18349008,8,44203.37849
f2fs_ckpt-254:4-648,8388608,W,18349888,16,44203.378522
f2fs_ckpt-254:4-648,8388608,W,18350136,16,44203.378545
f2fs_ckpt-254:4-648,8388608,W,18350368,8,44203.378562
f2fs_ckpt-254:4-648,8388608,W,18350392,8,44203.378575
f2fs_ckpt-254:4-648,8388608,W,18350448,16,44203.378616
f2fs_ckpt-254:4-648,8388608,W,18350512,8,44203.378629
f2fs_ckpt-254:4-648,8388608,W,18350536,8,44203.378643
f2fs_ckpt-254:4-648,8388608,W,18350552,8,44203.378657
f2fs_ckpt-254:4-648,8388608,W,18350568,16,44203.378673
f2fs_ckpt-254:4-648,8388608,W,18358064,8,44203.378687
f2fs_ckpt-254:4-648,8388608,W,18361840,32,44203.378705
f2fs_ckpt-254:4-648,8388608,W,18361880,8,44203.378736
f2fs_ckpt-254:4-648,8388608,W,18361960,16,44203.378765
f2fs_ckpt-254:4-648,8388608,W,18362008,8,44203.378788
f2fs_ckpt-254:4-648,8388608,W,18362072,8,44203.378819
f2fs_ckpt-254:4-648,8388608,W,18362216,8,44203.378844
f2fs_ckpt-254:4-648,8388608,W,18365880,8,44203.378867
f2fs_ckpt-254:4-648,8388608,W,18365904,8,44203.378893
f2fs_ckpt-254:4-648,8388608,W,18365920,8,44203.378918
f2fs_ckpt-254:4-648,8388608,W,18365968,8,44203.378938
f2fs_ckpt-254:4-648,8388608,W,18365992,16,44203.378952
f2fs_ckpt-254:4-648,8388608,W,18366024,8,44203.378982
f2fs_ckpt-254:4-648,8388608,W,18366048,8,44203.378993
f2fs_ckpt-254:4-648,8388608,W,18366072,8,44203.380061
f2fs_ckpt-254:4-648,8388608,W,18366088,16,44203.380118
f2fs_ckpt-254:4-648,8388608,W,18366112,24,44203.380169
f2fs_ckpt-254:4-648,8388608,W,18366440,8,44203.380182
f2fs_ckpt-254:4-648,8388608,W,18970736,16,44203.38024
f2fs_ckpt-254:4-648,8388608,W,18991744,8,44203.380307
f2fs_ckpt-254:4-648,8388608,W,18325296,32,44203.380691
kworker/4:1H-218,8388608,W,18325328,8,44203.384507
android.io-1683,8388608,W,47862752,8,44203.424216
kworker/u17:3-4922,8388608,W,47862752,8,44203.425423
kworker/0:0H-5,8388608,W,47866552,8,44203.426601
PackageInstalle-1791,8388608,W,47862760,8,44204.788588
kworker/u17:3-4922,8388608,W,47862760,8,44204.790019
kworker/3:1H-227,8388608,W,47866560,8,44204.793533
PackageInstalle-1791,8388608,W,140193048,16,44204.934902
kworker/u17:3-4922,8388608,W,140193048,16,44204.935878
kworker/u17:3-4922,8388608,W,140193064,16,44204.935963
kworker/u17:3-4922,8388608,W,140193080,16,44204.935979
kworker/u17:3-4922,8388608,W,140193096,16,44204.935993
